country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Albania,AL,ALB,8,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,15,Total,Units,%,Estimated value,,,15 years old
Albania,AL,ALB,8,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,74,Total,Units,%,Estimated value,,,15 years old
Andorra,AD,AND,20,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,49,Total,Units,%,Estimated value,,,15 years old
Andorra,AD,AND,20,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,64,Total,Units,%,Estimated value,,,15 years old
Andorra,AD,AND,20,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,77,Total,Units,%,Estimated value,,,15 years old
Andorra,AD,AND,20,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,83,Total,Units,%,Estimated value,,,15 years old
Andorra,AD,AND,20,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,83,Total,Units,%,Estimated value,,,15 years old
Andorra,AD,AND,20,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,85,Total,Units,%,Estimated value,,,15 years old
Antigua and Barbuda,AG,ATG,28,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,2,Total,Units,%,Estimated value,,,15 years old
Antigua and Barbuda,AG,ATG,28,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,2,Total,Units,%,Estimated value,,,15 years old
Antigua and Barbuda,AG,ATG,28,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,0.5,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2011,36,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2012,43,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2013,60,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2014,57,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2015,52,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2016,58,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2017,52,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,59,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,60,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,46,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,55,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,54,Total,Units,%,Estimated value,,,15 years old
Argentina,AR,ARG,32,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,36,Total,Units,%,Estimated value,,,15 years old
Armenia,AM,ARM,51,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2018,2,Total,Units,%,Estimated value,,,15 years old
Armenia,AM,ARM,51,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2019,8,Total,Units,%,Estimated value,,,15 years old
Armenia,AM,ARM,51,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2020,10,Total,Units,%,Estimated value,,,15 years old
Armenia,AM,ARM,51,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2021,9,Total,Units,%,Estimated value,,,15 years old
Armenia,AM,ARM,51,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2022,15,Total,Units,%,Estimated value,,,15 years old
Armenia,AM,ARM,51,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2023,41,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2010,67,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2011,63,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2012,65,Total,Units,%,Estimated value,,,15 years old
Australia,AU,AUS,36,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,2013,66,Total,Units,%,Estimated value,,,15 years old
